""	NefMES	NefAC	NefOPC	NefNPC
TTTY15	-0.235530474676592	-0.741305681851826	-0.777408032977045	-0.324488184022215
DNAH14	-0.327742669469025	-0.704685935965119	-0.735373141281817	-0.2028446722758
DDX3Y	-0.220485513887263	-0.711323899264923	-0.776440922561772	-0.293053703599077
EIF1AY	-0.329673051065493	-0.770120685148749	-0.765157080294315	-0.287152760369192
PARVA	-0.193869740158034	-0.725459695826528	-0.795742958378863	-0.357997203118999
RIMS2	-0.211531755832242	-0.7088933806146	-0.787887014475141	-0.305561985687269
ZNF518B	-0.34622973233662	-0.780471433576174	-0.741485398897066	-0.221552203838332
THEM4	-0.252071168747852	-0.704782210643175	-0.752182791146964	-0.353417957975252
HBS1L	-0.318778717761481	-0.766230336399583	-0.798488292059823	-0.327362925591926
SERINC1	-0.0466258810619754	-0.6158451539817	-0.800638847639719	-0.313660778165574
NPEPL1	-0.275390983876742	-0.65210605847875	-0.719547654506925	-0.229699043167853
PNISR	-0.363764417418234	-0.672043791250562	-0.703239752909646	-0.0823857175601258
RPAP2	-0.308314565826919	-0.740556246999486	-0.746662734047742	-0.154466843692288
RPS4Y1	-0.261620394203605	-0.674254055401768	-0.745855764705633	-0.325562986235438
INPP1	-0.118598211150098	-0.575299228622144	-0.755404803596061	-0.332369468380989
RANBP17	-0.33721867123831	-0.70291544472347	-0.722571396260203	-0.198396642659312
TTTY14	-0.330625462271429	-0.695544947722487	-0.715835812536369	-0.23507777919267
ARMCX1	-0.200121773590555	-0.609902069439626	-0.751901367914742	-0.290167066224333
FAM89A	-0.404906062726356	-0.688215818112198	-0.708242557996087	-0.176846166915928
HIF1A	-0.115905633965618	-0.636252190441942	-0.779669678761808	-0.286825823135105
UFL1	-0.280347446046761	-0.698480153297382	-0.788447607924646	-0.252674529693535
EHBP1L1	-0.334529296138611	-0.736787494492191	-0.737172601797687	-0.203953104877505
KITLG	-0.227296260134427	-0.664248807004527	-0.736175292202411	-0.290617803154076
FAM213A	-0.189838492714811	-0.608045027594056	-0.739756183167019	-0.30862136288466
DNAJC4	-0.155284438422596	-0.582030860693145	-0.762691828232533	-0.368767428280504
TFRC	-0.331437274030005	-0.697987433549033	-0.681422598772154	-0.173904967214639
RTL8A	-0.342698034192884	-0.721567464231062	-0.749216341113735	-0.258100426374293
SOCS4	-0.301771443458942	-0.695896417179784	-0.739197065576829	-0.168084415689024
TGOLN2	-0.300862845529967	-0.761803648629464	-0.786303212662529	-0.286875498217909
WDR26	-0.100663756291073	-0.536020760168137	-0.773504515654337	-0.283939723311857
PCNX4	-0.243643656871461	-0.745421335761671	-0.78436384600817	-0.244914123333242
MTAP	-0.435802642026898	-0.768234742122278	-0.746428155400175	-0.247375610436456
THUMPD2	-0.405923098494568	-0.729857629690125	-0.717214696763455	-0.219621307534415
TOR1AIP2	-0.345011285832209	-0.776417958626184	-0.781766870316335	-0.202282272192406
HECTD2	-0.231105341350467	-0.612441866246065	-0.754349323165919	-0.335235679082089
ZFY	-0.348790204172722	-0.74337396921644	-0.74409766673225	-0.250265944575253
SGPL1	-0.209305251632107	-0.662340562671902	-0.764630723042406	-0.192253365380512
KDM5D	-0.369377677986436	-0.715049190253133	-0.706665153273159	-0.191671529043696
PRPF4B	-0.350123920015447	-0.666203720039072	-0.726906016591903	-0.198387331802913
CDKN2B-AS1	-0.291609476864074	-0.698439641228759	-0.725162425925805	-0.21838903547069
PHF11	-0.191707228090021	-0.723263306054762	-0.778005938393125	-0.330408424444518
ZNHIT6	-0.320050097225317	-0.759575899044318	-0.735775753776944	-0.17805277488682
N4BP2L2	-0.147923381363894	-0.569470924916806	-0.724667780921008	-0.197058123289703
TMEM30A	-0.255926476274847	-0.630360407513908	-0.727790159413421	-0.184317413903804
C6orf89	-0.138104506439855	-0.581661349841124	-0.778432694258648	-0.317807989376506
CDC42BPA	-0.383725737848436	-0.760704530304899	-0.754239875353715	-0.15295417094918
TROVE2	-0.105175717490855	-0.661576611097251	-0.805218372819449	-0.326935654286067
HOXD13	-0.36657300359526	-0.705802622098587	-0.714563557942455	-0.210327912264347
SHTN1	-0.428195446721031	-0.653035638219358	-0.691807685766455	-0.113602200459631
GMFB	-0.291199235465639	-0.71797975838439	-0.749647133430409	-0.180829550103679
