""	NefMES	NefAC	NefOPC	NefNPC
AC011476.3	0.391458727993898	0.171791726926647	-0.233995201571084	-0.0812814375131434
AL031594.1	-0.0908379042318604	-0.0886595755108577	0.11446460235453	0.0902771165344394
GIMAP8	-0.00547246110253492	-0.0508470389695677	0.19009816943794	0.185379255305647
AC007603.1	0.165713569441505	0.199430631841698	0.00256621393623382	0.0967749409417581
PRICKLE2-AS3	0.328501164044009	0.0963803909746786	-0.247436476600506	-0.037540379777679
LIPH	0.153026843214354	0.266508465373631	0.0246488701152883	0.0950682699597965
FP565260.3	0.32508851223237	0.338236772935237	-0.0925204798942871	0.0151606343642148
EFNA5	0.580371957531759	0.189272343996745	-0.382916467512003	-0.255790656031097
LEP	0.159953175532639	0.289977912800754	0.0735146293156783	0.24569810389751
AC211486.2	-0.136207652867177	0.0519206314504439	0.246370153249675	0.32200127952558
ITFG1-AS1	0.0134489188743401	0.189568677055976	0.206973566356733	0.149811005674508
AC103770.1	-0.195829404785561	0.0311467038850389	0.279496224748031	0.278292622368438
AC010931.2	0.194344847440431	0.398753579836161	0.0625245881721578	0.100529185601351
AC008738.4	0.230841627296416	0.0956567551045169	-0.256614381106917	-0.182527607838098
AP000426.1	-0.308844322315497	-0.135939933357939	0.310281125093998	0.356930652198865
AC124804.1	0.446223438945576	0.159968023544503	-0.25169039906055	-0.100567328806416
AC073957.1	0.124006986130848	0.110028103469209	0.0281133207636872	-0.0211341683700497
CYP3A43	0.218347281898135	0.00500001823378319	-0.148357511351342	-0.113812194699805
AC141424.1	0.10067495864509	0.194211384265885	0.114668367341943	0.200756720064955
TBXA2R	0.248291977496868	0.139267774131156	-0.122897880474634	-0.0431634002012395
LINC01600	0.24502627212457	0.262216406553169	0.0146189272771536	0.17672339374226
GDA	-0.129154084217344	0.116637532750858	0.278526370222417	0.307016812504501
AC083806.2	0.135015241001321	0.0958723166238301	0.0792875840642327	0.0951752747061451
MPL	0.301105317913359	0.360113351687702	-0.102853354217295	-0.062620395301524
LNCSRLR	0.472587748736314	0.129852743912866	-0.268763439647704	-0.210216633643372
F2	0.233258615348005	0.328947936999351	-0.0402037661281082	0.0126823429627811
GFRA4	0.0699852064824207	0.177301172344108	0.151702980745663	0.240502602093953
AC015845.2	-0.19698188703938	-0.0821276828699107	0.157621053927869	0.139022869774357
GALNT18	0.634226346095928	0.0617929963408396	-0.625609782966488	-0.563732470295025
AC090907.2	0.130760234730246	0.140724194088524	0.0257157237904486	0.0366560068059207
OVCH2	-0.0616082720339476	0.131009515976271	0.226356404379999	0.32990251766846
HDC	-0.0420704092195278	0.028429851937267	0.157234279579376	0.0830024702340987
AC084859.1	0.0904762378460669	-0.0914867287725906	0.0210825090735753	-0.0449819784815807
PRSS40A	-0.255879172933458	-0.0213666425409203	0.380476034391622	0.42892698236047
AC012313.6	0.0284252042102796	0.38932726749601	0.355081126277066	0.370708125393484
AC023906.3	0.168741024384413	0.463767078039214	0.181413250475426	0.291018267837559
AL357568.1	0.2744380316782	0.431145747100541	0.00178390478209022	0.115765502937141
SOX1-OT	0.214725589981361	-0.0876452854488785	-0.218798380650704	-0.266625152631326
AC009955.3	-0.0492261746225318	-0.129541778109124	0.10310836408087	0.0643345165353864
COL4A4	0.40430615350594	0.00652167650439065	-0.395277758933373	-0.319364841329856
AP002990.1	-0.0634419420908186	0.112529568534879	0.24018610727274	0.282631285248235
AC092070.3	0.0124011822388709	0.180875105516301	0.157530771010353	0.153953785041317
AL354754.1	0.00976554726801883	0.252417388275545	0.265406667461939	0.282010341207644
MOV10L1	0.563832214310757	0.199417842745969	-0.416791873998084	-0.365754946882702
SLC4A10	0.142785992721295	-0.0660105693085295	-0.0599752431333394	0.000369643413507279
UNC5C	0.117756997824757	0.321217539019142	0.177507104110589	0.276011154477272
DAND5	-0.00405846616239897	0.305905298335905	0.183424567450499	0.219783780278297
AP000322.2	-0.177143029536678	0.134176708810289	0.382308103198881	0.315984288994342
LMNTD1	0.343411843430341	0.249104651185582	-0.1700047522625	-0.0586207571326517
AC004884.2	0.0926508745419087	0.155679872861285	0.088447544137302	0.155581352516886
