""	MES	NPC	OPC	AC
GALR2	0.381556501018004	-0.312957258798371	-0.397471702858023	-0.345661269864605
AC004884.2	0.119675577540513	-0.2193839326736	-0.294897750523441	-0.267164352079831
AL122125.1	0.182143204592913	-0.215661302646982	-0.299017265559582	-0.244725328525668
HOXD1	0.325467154044177	-0.305839413627451	-0.339078308034399	-0.299757147033449
PRKCG	0.056457978425685	-0.311410221096144	-0.389208279095391	-0.325248725470955
CALR3	0.212848312278938	-0.174876616359814	-0.231396295818344	-0.220020620561099
LINC02612	0.136391702528947	0.234914470089706	0.143653205407352	0.198293526953327
SFTPB	0.0662721557343545	-0.35259454644491	-0.38461513532365	-0.385004785652186
SCN1A-AS1	0.103402003680418	0.410767602287073	0.266677803018448	0.404132338426418
LINC01792	0.251400082356783	0.0437762371277223	0.0105292759531358	0.0438969074094831
STMN4	0.286345760077947	0.171662812973929	0.0426707834136685	0.0745304996411679
GTSCR1	-0.0338092297792692	0.36250970701637	0.212944782489871	0.308952125590285
IGHV3-11	0.373497611205122	-0.428235990245701	-0.399428004856107	-0.390183511855242
AC011287.1	0.19074742990556	-0.166160922336363	-0.215133676209455	-0.23898394024824
A2M-AS1	0.353646489468047	-0.341198328943495	-0.333678905858795	-0.309479521029012
AC242988.1	0.211570478657606	-0.176636448449878	-0.291768676910708	-0.243792344676535
AC011008.1	0.130348688613828	-0.362385703096393	-0.445178304307111	-0.386961396288901
AC006160.1	0.120001620644888	-0.421060927270549	-0.407469925447701	-0.48818190902122
AC100803.2	0.270006569453564	0.09910008306607	-0.010413307333739	0.0522208624825226
AC023024.1	0.477125629836063	-0.137772770796507	-0.236897030254138	-0.187380833767479
AC005520.3	0.135425454569575	-0.165367874509882	-0.119994879898568	-0.171305295479995
FRMPD1	0.0256096670179087	-0.359611884198029	-0.351796845983883	-0.379844744012643
IL19	0.0474775794086625	-0.0259189351103012	-0.0259992714100926	-0.13374184129015
ANKRD20A3	0.446245121911756	-0.0252212934220873	-0.117327190753965	-0.0580777876502264
AC097639.1	0.0967953319522107	-0.255789502936472	-0.329066688282235	-0.302695788422198
AL160254.1	0.0800337883299772	-0.151473598900193	-0.159243735369876	-0.163651922012557
NRK	0.0691115028243851	-0.240358038206208	-0.331884797094517	-0.265125105028391
AC027682.4	0.0781780543747885	0.134462953728472	0.0251406627529098	-0.0116302694375063
KRT81	-0.0234412153405617	-0.289459181010911	-0.300707741046524	-0.303241603369185
AC099518.2	0.187810691459285	0.102695272069599	0.0723859990423211	0.0665689294298715
RSF1-IT2	0.217563464330112	-0.295713583657138	-0.344980185495752	-0.341596645052396
HOXA13	0.238596314895845	0.128611487306049	0.0249987418443132	0.141618476557051
AP000926.2	0.331357942172947	-0.182743426216453	-0.25054408011514	-0.136060225616329
UNC13C	0.131985686195987	-0.369789745746719	-0.429221351019274	-0.372296803422995
SLC26A7	0.111395999535847	0.0756438837067046	0.00602228410006437	0.0644385129497247
AC134312.5	0.135037901064697	0.208141056853869	0.100091357992911	0.148510798661633
AC027237.2	0.22292381357306	-0.470211567293304	-0.444448950385299	-0.451083366722507
AC012063.1	0.365297038325916	-0.364506625781902	-0.3844424209539	-0.396182659890361
AC104984.3	0.0332268281085862	0.122967599090623	0.00181765885704076	0.052435508753434
PWRN1	0.222964096003422	0.279028987918982	0.314399007244995	0.175830842952568
AL606760.3	0.296473370757149	0.180480775724559	0.049017541146657	0.105098481863866
AC136604.3	0.283774228619829	-0.117858713881993	-0.210301730910533	-0.159522500677083
AC127024.4	0.412902588159881	-0.107546504399511	-0.223843482924587	-0.172144760378283
AL109837.3	0.300874474767088	-0.0126970933475243	-0.0574005019277123	-0.0928580863543005
CHRNA7	0.270397197344292	0.170444898493088	0.0782570271549155	0.118182101776963
DSCR9	0.149783081627241	-0.348126517855027	-0.425309645077672	-0.365470468127168
AL031663.3	0.21096737922511	-0.190853943535227	-0.22409680681131	-0.178104918313934
AC012645.4	0.0915262904116217	-0.138143463005577	-0.211283854145658	-0.165850342687705
AL031595.2	0.320554878831675	-0.27714348363273	-0.306855262170531	-0.303102012146221
COL9A3	0.288089639217674	-0.0896378478809935	-0.13196801624934	-0.111965423518204
