""	MES	NPC	OPC	AC
ZNF24	0.124939774397262	-0.424639212413484	-0.60539601196676	-0.223326201414353
SF3B1	0.0690665398589314	-0.384623607351706	-0.595000319475762	-0.231295148518147
MTDH	0.122736129105648	-0.424766217523129	-0.624348384127907	-0.236312128185206
KIF21A	0.106609323489389	-0.369575913372188	-0.561099061240461	-0.151458589385745
ACTR2	0.0958911507456714	-0.427405797727023	-0.608191493830495	-0.233929841203644
FUS	0.0228381962436354	-0.357962959878197	-0.598715339991943	-0.243165967963922
PTCD3	0.0912367004290143	-0.403658057439808	-0.602961771605532	-0.222928795760892
SPPL2A	0.0983937421434439	-0.403148650594371	-0.581568405328003	-0.187306349983778
MBD4	0.121250103920059	-0.411960223945561	-0.597871226806703	-0.211407421015788
TROVE2	0.106724480602714	-0.442966177755063	-0.632009260963007	-0.23349421548056
FBXO9	0.0803364987273987	-0.402257143570858	-0.611339018737739	-0.236147697677259
UBXN4	0.135095945985886	-0.423584845257585	-0.614323186599511	-0.204578932947604
GPBP1	0.089495238793987	-0.417086868219589	-0.624884428593424	-0.24939771124617
CCDC47	0.13343083345251	-0.45897391201632	-0.645015631638379	-0.242528014083467
RSRC2	0.0925208640216707	-0.38731039935571	-0.614874121189071	-0.247466505294726
HNRNPK	0.131399652618605	-0.456360789234655	-0.658195066104204	-0.264621478853164
U2SURP	0.0636087948046706	-0.356422548065176	-0.584813502177862	-0.227228587732061
EGFR	0.087668766333659	-0.359452736547227	-0.570252553999797	-0.16957116041604
G3BP1	0.0736125602647556	-0.38611103604305	-0.584216012006228	-0.227754320417619
PAPOLA	0.0738363900523536	-0.414893123080796	-0.631392846621498	-0.264393049832446
SMARCA5	0.107898532009767	-0.383060783541662	-0.557120672722115	-0.175080834181279
ORMDL1	0.129500294228815	-0.443032856148848	-0.624631761149131	-0.213281755837434
USP16	0.106275702039791	-0.419719305867775	-0.621110168104697	-0.247182278613811
RNF13	0.140095740571033	-0.424074091357624	-0.594707415885557	-0.197555414798066
ME2	0.116192391288752	-0.4195982503591	-0.600764089057516	-0.217339744039424
RSBN1L	0.0836124206473292	-0.395504338883537	-0.598073458246837	-0.224950952657094
PHF14	0.0237210585950499	-0.342024005431788	-0.587537346063592	-0.254437580850718
DARS	0.14316965106747	-0.456449259440727	-0.606730183012289	-0.209775766187625
RHOBTB3	0.113319894790157	-0.455069613925388	-0.660995974110455	-0.262071785614883
PNPLA8	0.17016197166237	-0.435051327048256	-0.569446120357844	-0.147739151874902
HIF1A	0.114936644294616	-0.401445653654429	-0.594992877258625	-0.176401161962567
HNRNPA2B1	0.0376115691337034	-0.398929674182195	-0.65209875610861	-0.294747193191116
NCOR1	0.103826780327991	-0.39255104003264	-0.586631075951179	-0.194151112685618
DDX52	0.0531858110235717	-0.393556511217035	-0.622103522019877	-0.267151798430707
TCF25	0.12641729527612	-0.455294913574233	-0.644083713946369	-0.25210048390483
DHX29	0.0873216772029494	-0.422124746419597	-0.645207691669108	-0.272339869427691
NSRP1	0.0535584263506029	-0.410192437614884	-0.639699358552294	-0.279616157426328
ABI2	0.0674086286753904	-0.363483417666479	-0.546983917800246	-0.159834062841433
GALNT7	0.0956291445106585	-0.36986350460352	-0.57382822639679	-0.204594117042354
CSNK2A1	0.0610196658271551	-0.405562240790875	-0.630295195457392	-0.279693805693023
MAPK6	0.0816611582962686	-0.391083480011924	-0.620527403053821	-0.234585886650402
ARFGAP2	0.116467971413881	-0.449507101163593	-0.646937089204116	-0.260214628203449
APP	0.163669443655034	-0.387513158039453	-0.550056113966347	-0.11709785539787
OSBPL8	0.087654043110385	-0.429557212886839	-0.613709803007997	-0.241978079020554
PPP1R12A	0.074232947923583	-0.340761681040581	-0.575015973147764	-0.194778193419034
DDX5	0.0972588268580267	-0.396922259469701	-0.624151059164769	-0.254288324954574
RBBP4	0.0407879295946919	-0.347504433804044	-0.566872556533091	-0.190050881747884
SH3YL1	0.108555493497993	-0.451204713686208	-0.618630836328477	-0.218944727130832
OTUD6B-AS1	0.109341151851051	-0.437939115804444	-0.633932639773892	-0.240262086654877
CAPZA1	0.101910329874804	-0.36957097844655	-0.566993261177648	-0.197659207549663
